"","roster.No.","roster.Player","roster.Pos","roster.Ht","roster.Wt","roster.Birth.Date","roster..","roster.Exp","roster.College"
"1","10","Mike Bibby","PG","6-1","190","May 13, 1978","us","11","Arizona"
"2","34","Jason Collins","C","7-0","255","December 2, 1978","us","8","Stanford"
"3","11","Jamal Crawford","SG","6-5","185","March 20, 1980","us","9","Michigan"
"4","1","Maurice Evans","SF","6-5","220","November 8, 1978","us","6","Wichita State, Texas"
"5","15","Al Horford","C","6-9","245","June 3, 1986","do","2","Florida"
"6","50","Othello Hunter","SF","6-8","225","May 28, 1986","us","1","Ohio State"
"7","2","Joe Johnson","SG","6-7","240","June 29, 1981","us","8","Arkansas"
"8","33","Randolph Morris","PF","6-10","266","January 2, 1986","us","3","Kentucky"
"9","27","Zaza Pachulia","C","6-11","270","February 10, 1984","ge","6",""
"10","32","Joe Smith","PF","6-10","225","July 26, 1975","us","14","Maryland"
"11","5","Josh Smith","PF","6-9","225","December 5, 1985","us","5",""
"12","0","Jeff Teague","PG","6-3","195","June 10, 1988","us","R","Wake Forest"
"13","6","Mario West","SG","6-5","210","June 19, 1984","us","2","Georgia Tech"
"14","24","Marvin Williams","SF","6-8","237","June 19, 1986","us","4","UNC"
